jump_id,take_off_measurable,take_off_frame,v_style_measurable,v_style_front_start,v_style_front_end,v_style_back_start,v_style_back_end,body_ski_measurable,bsa_start,bsa_end,landing,telemark_measurable,telemark_start,telemark_end,telemark_f_l,notes
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
jump5,1,324,1,340,355,,,1,396,405,478,1,479,483,l,
jump6,1,197,1,225,234,,,1,284,287,347,1,348,350,l,
jump7,0,211,1,235,255,,,1,222,234,328,1,328,333,l,no take off
jump8,0,402,0,,,,,1,460,464,553,1,555,558,l,
jump9,1,470,1,,,489,494,1,555,569,594,1,594,599,l,
jump10,1,278,1,304,314,301,303,1,356,360,426,1,427,432,l,fog
jump11,1,378,1,,,400,405,1,454,457,567,1,567,571,f,
jump12,1,378,1,415,425,,,1,495,500,597,1,598,603,,
jump13,1,485,1,526,535,,,,,,,,,,,
jump14,,,,,,,,,,,,,,,,
jump15,0,351,1,379,393,,,1,460,464,495,1,495,502,l,v style dubbio
jump16,1,413,1,445,455,,,1,488,492,536,1,537,541,l,telemark dubbio
jump17,0,433,1,462,466,,,1,500,505,547,1,548,553,l,
jump18,1,438,0,,,,,1,499,504,562,1,563,567,l,
jump19,0,484,1,521,528,,,1,585,590,630,1,631,635,l,
jump20,,,,,,,,,,,,,,,,
jump21,0,,1,,,377,382,0,,,534,0,,,,
jump22,0,597,0,,,,,1,686,690,763,0,,,,
jump23,1,423,1,,,438,446,1,502,507,583,1,583,593,l,
jump24,1,1931,1,1962,1967,,,1,2008,2012,2079,1,2085,2090,f,cambio camera landing/telemark
jump25,1,1656,1,1686,1690,,,1,1777,1781,1883,0,,,,
jump26,1,374,1,397,401,,,1,437,441,535,0,,,,
jump27,1,201,1,234,238,,,1,275,279,313,1,358,362,f,fog + cambio camera landing/telemark
jump28,1,354,,,,,,1,449,453,505,0,,,,
jump29,1,289,0,,,,,1,370,380,447,1,448,453,l,telemark lontano
jump30,1,287,1,343,355,,,1,432,443,526,0,,,,v-style dubbio
jump31,1,414,1,,,459,462,1,518,526,566,1,567,577,l,
jump32,1,260,1,,,290,300,1,335,339,382,1,382,392,l,
jump33,1,297,1,352,366,,,1,456,459,544,0,,,,
jump34,1,427,1,449,459,,,1,515,525,580,1,589,594,l,telemark molto lontano
jump35,1,221,0,,,,,1,296,303,358,0,,,,
jump36,1,555,0,,,,,1,621,625,711,1,711,715,l,telemark figo
jump37,1,255,1,,,290,291,1,323,324,364,0,,,,
jump38,1,433,,,,,,1,517,519,576,1,577,582,l,
jump39,0,,1,354,357,353,353,1,418,422,500,1,501,506,l,
jump40,,,,,,,,,,,,,,,,foggy
jump41,1,258,0,,,,,1,357,361,428,1,429,434,l,
jump42,0,,0,,,,,1,557,561,638,1,639,644,l,
jump43,0,,0,,,,,1,346,351,400,1,401,405,l,
jump44,0,,1,,,433,438,1,471,474,531,0,,,,
jump45,0,,1,,,381,384,1,430,434,513,1,514,519,,
jump46,1,274,1,294,300,,,1,369,373,384,1,385,389,l,
jump47,0,,1,421,425,,,1,482,486,556,1,557,561,l,
jump48,1,323,0,,,,,0,,,439,1,440,444,l,
