metric,target,pearson_r,pearson_p,spearman_rho,spearman_p,n_samples,significant
knee_peak_velocity,Physical_Score,-0.11271948616776503,0.6891815273614736,-0.0857142857142857,0.7613341261907667,15,False
knee_peak_velocity,Style_Score,0.12340041720708683,0.6612798721653828,0.3422961055048423,0.21172063707001315,15,False
knee_peak_velocity,AthleteDistance,-0.12499644267137056,0.6571448743005869,-0.19124225688321828,0.4947550322490476,15,False
knee_peak_velocity,AthleteScore,-0.10522191365406888,0.7089942878684995,-0.075,0.7905107941552678,15,False
knee_angle_at_takeoff,Physical_Score,-0.159868625725276,0.569264892213108,-0.2642857142857143,0.3411737579900821,15,False
knee_angle_at_takeoff,Style_Score,-0.04449027898628588,0.8748996332836844,-0.12186458206455118,0.6652675276963465,15,False
knee_angle_at_takeoff,AthleteDistance,-0.07418185351497826,0.7927498870688844,-0.02502235136789772,0.9294661103647417,15,False
knee_angle_at_takeoff,AthleteScore,-0.16582754674704314,0.5547594771160312,-0.2678571428571428,0.3344436005123538,15,False
flight_std,Physical_Score,-0.3000523539584079,0.1986755369482488,-0.41052631578947363,0.07218723053142066,20,False
flight_std,Style_Score,-0.3408356693924838,0.141407233387004,0.009841257927791565,0.9671537347210737,20,False
flight_std,AthleteDistance,-0.22217157612378316,0.34647691147565696,-0.380737504320633,0.09769462926622427,20,False
flight_std,AthleteScore,-0.33260334873856373,0.15190235281959666,-0.4015037593984962,0.07931658537453377,20,False
flight_jitter,Physical_Score,-0.25771976657080276,0.2726376899677331,-0.23157894736842105,0.325898627038793,20,False
flight_jitter,Style_Score,-0.28662785310952066,0.22049526616930665,-0.05450542852315329,0.8194678508316913,20,False
flight_jitter,AthleteDistance,-0.2446195720848353,0.2986045426931655,-0.30398804692793624,0.19256252343081331,20,False
flight_jitter,AthleteScore,-0.28514590529059564,0.22299641100167716,-0.29172932330827067,0.21202623258054837,20,False
flight_mean_bsa,Physical_Score,-0.4437278151468983,0.05002055500893895,-0.33233082706766914,0.15225878917036068,20,False
flight_mean_bsa,Style_Score,-0.20130385264325515,0.3947396916414755,-0.04390715075476238,0.8541677991528205,20,False
flight_mean_bsa,AthleteDistance,-0.32717542877785954,0.1591114999936561,-0.22197146991025044,0.34692266877048694,20,False
flight_mean_bsa,AthleteScore,-0.46553360192389165,0.03858846007497527,-0.3609022556390977,0.11798037156435756,20,True
landing_hip_velocity,Physical_Score,-0.27900296362466626,0.22066382135978932,-0.3116883116883117,0.16899965782484552,21,False
landing_hip_velocity,Style_Score,-0.4428220820770471,0.044395868166687225,-0.35336992023562325,0.11609490025116018,21,True
landing_hip_velocity,AthleteDistance,-0.2520978527839684,0.27026878340570915,-0.3814165847414114,0.08800226096872568,21,False
landing_hip_velocity,AthleteScore,-0.31992830123470406,0.15742000119478203,-0.36363636363636365,0.1051493087055121,21,False
landing_knee_compression,Physical_Score,0.2119015022524987,0.35646266581766667,-0.21240663673036597,0.3552904580417471,21,False
landing_knee_compression,Style_Score,-0.7117560718439246,0.0002961913780514467,-0.60798062758519,0.0034570319365253145,21,True
landing_knee_compression,AthleteDistance,0.20583258004444244,0.370720417466756,-0.017874554080124307,0.9387018642506295,21,False
landing_knee_compression,AthleteScore,0.1523857779591718,0.5096214281610432,-0.25462813944435303,0.26532728003575146,21,False
avg_body_ski_angle,Physical_Score,-0.20198243609883593,0.39311439991486374,-0.29323308270676685,0.20957138880302534,20,False
avg_body_ski_angle,Style_Score,-0.3211731473016839,0.1673549743746503,-0.4950909757519757,0.026453745911118046,20,False
avg_body_ski_angle,AthleteDistance,-0.241999978680622,0.30397190545444974,-0.33559076467787013,0.1480330535332011,20,False
avg_body_ski_angle,AthleteScore,-0.23187360981761512,0.32526604943554244,-0.3924812030075188,0.08695594245899081,20,False
avg_v_style_front,Physical_Score,0.749076918189546,0.005048313358384811,0.6223776223776225,0.030675895061640132,12,True
avg_v_style_front,Style_Score,0.3383681440709133,0.2820148643363038,0.38664860786452737,0.21439242970389727,12,False
avg_v_style_front,AthleteDistance,0.7692078546101169,0.003448017510093895,0.6853146853146854,0.013905968814362752,12,True
avg_v_style_front,AthleteScore,0.7847332213724167,0.002503895132331672,0.6573426573426573,0.020185498509854096,12,True
takeoff_knee_angle,Physical_Score,-0.6533855092744003,0.07891943158088709,-0.7142857142857144,0.04652823228416724,8,False
takeoff_knee_angle,Style_Score,0.1112642247863508,0.7930949599995516,-0.15569141404872364,0.712761707999163,8,False
takeoff_knee_angle,AthleteDistance,-0.5348232032850606,0.1720207481570934,-0.4047619047619048,0.3198886412288162,8,False
takeoff_knee_angle,AthleteScore,-0.6528850808169249,0.0792279494363653,-0.7142857142857144,0.04652823228416724,8,False
avg_symmetry_index_back,Physical_Score,-0.5930274165141401,0.29188226813823903,-0.7,0.1881204043741873,5,False
avg_symmetry_index_back,Style_Score,0.5645671852592333,0.32143000020814766,0.6,0.28475697986529375,5,False
avg_symmetry_index_back,AthleteDistance,-0.7016611421352635,0.18661169408205272,-0.49999999999999994,0.39100221895577053,5,False
avg_symmetry_index_back,AthleteScore,-0.5749625573024149,0.31055282547326907,-0.7,0.1881204043741873,5,False
avg_telemark_proj_ski,Physical_Score,-0.10133809816629324,0.7193268554511123,0.024999999999999998,0.9295289708192378,15,False
avg_telemark_proj_ski,Style_Score,-0.0759345441374668,0.787955005506367,-0.1703077417229067,0.5439595697596804,15,False
avg_telemark_proj_ski,AthleteDistance,-0.10158832848243307,0.7186597565291076,0.028571428571428564,0.9194899083821857,15,False
avg_telemark_proj_ski,AthleteScore,-0.10375406720158861,0.7128939466237916,0.010714285714285713,0.9697698761545686,15,False
avg_telemark_depth_ratio,Physical_Score,-0.006113898933129304,0.9827473189555159,0.06428571428571428,0.8199479653196377,15,False
avg_telemark_depth_ratio,Style_Score,-0.06729213551187624,0.811663673813163,-0.2790148109077408,0.31390765243833096,15,False
avg_telemark_depth_ratio,AthleteDistance,0.005650263681237241,0.9840554819557765,0.11071428571428568,0.6944626472070963,15,False
avg_telemark_depth_ratio,AthleteScore,-0.011585540008062355,0.9673128153320382,0.03214285714285714,0.9094621170945906,15,False
avg_telemark_leg_angle,Physical_Score,-0.2714841156188596,0.32768641749044797,-0.021428571428571425,0.9395779040128779,15,False
avg_telemark_leg_angle,Style_Score,-0.38938062450129346,0.1514034841558863,-0.257273397070774,0.3546075385176366,15,False
avg_telemark_leg_angle,AthleteDistance,-0.2463481134940983,0.3761114109199306,-0.06785714285714285,0.8101088187105131,15,False
avg_telemark_leg_angle,AthleteScore,-0.2937489701924109,0.2879371096067737,-0.11428571428571425,0.6850657626568972,15,False
takeoff_timing_offset,Physical_Score,0.4952968015003516,0.060473886098490526,0.6176103237066375,0.014153467566040875,15,False
takeoff_timing_offset,Style_Score,-0.001501941763949896,0.995761429634837,0.05485203205006048,0.8460540151528643,15,False
