ID,AthleteScore,AthleteDistance,Style_Score,Physical_Score,knee_peak_velocity,flight_std,flight_mean_bsa,flight_jitter,landing_hip_velocity,landing_knee_compression,avg_v_style_front,avg_v_style_back,takeoff_knee_angle,avg_body_ski_angle,avg_symmetry_index_back,takeoff_timing_offset,takeoff_peak_velocity,telemark_scissor_mean,telemark_stability,landing_absorption_rate
JP0001,132.4,89.0,16.5,115.9,,,,,,,,,,,,,,,,
JP0002,142.4,135.5,18.5,123.9,,,,,,,,,,,,,,,,
JP0003,144.4,140.0,18.333333333333332,126.06666666666668,,,,,,,,,,,,,,,,
JP0004,127.8,130.0,18.5,109.3,,,,,,,,,,,,,,,,
JP0005,127.9,134.0,17.833333333333332,110.06666666666668,200.1653555210348,9.82024148413566,11.422641275209388,1.5555604851462588,0.007813012355845,54.19235993651476,36.60366286544017,,165.69284548315335,20.03688159768492,,-10.0,292.1937977791147,0.6206108414205981,5.545738095592977,-0.0018811041011427
JP0006,138.5,128.0,18.833333333333332,119.66666666666667,625.0973864426049,11.599219522606008,11.573548973787233,2.0069011552723497,0.0565771709521435,24.25839387064559,29.041391377041677,,168.12620983834094,9.30101837369083,,-4.0,565.8197395633654,0.2297204015299126,25.287855424011703,-0.0073107772417444
JP0007,132.8,95.5,18.333333333333332,114.46666666666668,,5.714870664377578,6.168035359720116,1.6552199107615349,0.0107732164604466,50.092997304813736,30.814518228728737,,148.27029749491763,15.996120773732116,,,,0.1638606965722595,14.325714762128982,0.0027663900502508
JP0008,141.8,135.0,18.5,123.30000000000001,,8.06835908687255,8.348756366497632,1.4438643786904264,0.0124993880204954,20.188582526132635,,,173.60187509769668,14.622807339905496,,,,0.3926612152090814,8.16003746923232,0.0071055933693793
JP0009,120.9,97.0,18.0,102.9,662.8911258195918,21.613603475903247,15.265492176662493,3.4547174718973404,0.0210013806224063,19.503993642170173,,55.77091802767402,155.48073142653806,11.98811502164512,9.104593239742854,-1.0,662.8911258195918,0.679794773998498,6.145798673761899,0.0052085900706163
JP0010,112.8,122.0,18.0,94.8,568.4876592244797,12.529733190013523,9.22861167113484,1.557961002422538,0.0231715438762852,62.09423342858475,41.6471863866115,,140.42759054036122,7.264380236775674,,-1.0,568.4876592244797,0.2882047551572054,10.49554844668137,0.0022132504408
