feature,importance_builtin,importance_perm_mean,importance_perm_std
normalized_distance,0.6031596643105546,0.9120753441103361,0.08026413382227114
AthleteGender,0.2060415240225804,0.6504444860637681,0.08322455766086952
landing_hip_velocity,0.020525111831273046,0.018172788803710725,0.01009404254844755
takeoff_acceleration_peak,0.02447759021180885,0.016413193291042738,0.005080404520815906
stability_ratio,0.030168247437004976,0.012275461510317675,0.003285968654271291
telemark_stability,0.00666053302723114,0.009105245189978017,0.003100920566059195
takeoff_peak_velocity,0.008535571927334378,0.007749376426286758,0.003861508098319183
landing_smoothness_score,0.01769405305075145,0.0062535516343199425,0.003052839796245905
landing_hip_drop,0.019709584680723844,0.00564316750591658,0.0034585474363067015
explosive_efficiency,0.008939107419424091,0.005126137919664398,0.0025348588814416103
flight_stability_std,0.00918783946563214,0.0036799404893816724,0.0019069082579355498
knee_extension_range,0.008762045151037354,0.002131950490668111,0.001983922263406297
knee_angle_at_takeoff,0.005821099999913777,0.0012408550142132603,0.0005834471379468273
landing_knee_compression,0.0028642307553008645,0.0011729954253939634,0.0008901008289263705
flight_mean_bsa,0.007339993839509302,0.0011191066419224515,0.0008291641315388263
flight_jitter,0.006693798389125484,0.0007295721264506394,0.000576792607004164
avg_body_ski_angle,0.0039018621152725713,0.0006099743874230623,0.0007826103274703342
flight_trend,0.0016256656365851321,0.0004786188965917759,0.00025901518354606417
landing_absorption_rate,0.0007294925477293651,0.0003250014471128382,0.00020653499199327198
knee_mean_velocity,0.000925528726555026,0.000276646919097745,0.0003081679867372944
flight_range,0.0014087936866925975,0.00022761510718147804,0.00027965216633386625
flight_std,0.0011003851638183171,0.00021215568661300254,0.00027165433823808893
knee_peak_velocity,0.0003034895232572015,0.00012368910753701723,0.0
takeoff_knee_angle,0.0018686464282636774,6.719514952003846e-05,0.00018033654917857798
avg_v_style_front,0.0006844251812230032,5.6192995410664357e-05,0.0003808801298006234
takeoff_smoothness,2.2504796434521913e-05,-1.7518647673797627e-05,1.196839769284901e-05
takeoff_timing_offset,0.0008492106749630076,-3.170915510287697e-05,3.3738568478904555e-06
