jump_id,dominant_frequency,high_freq_power_ratio
JP0005,0.3,0.08013459737568775
JP0006,0.3,0.04143232271068088
JP0007,0.3,0.351228803293114
JP0008,0.3,0.19995123254095765
JP0009,0.3,0.009324377942756321
JP0011,0.3,0.04860046849193295
JP0012,0.3,0.03481078193955023
JP0015,0.3,0.08377293107927347
JP0016,0.3,0.14218389111445973
JP0017,0.3,0.18678252065070192
JP0018,0.3,0.02408746297136796
JP0019,0.3,0.02873982491448566
JP0022,0.3,0.15141692506502968
JP0023,0.3,0.3179377600555126
JP0024,0.3,0.031042253476418483
JP0025,0.6,0.05207681157118378
JP0026,0.3,0.0863380287349768
JP0028,0.3,0.026625098632045482
JP0029,0.6,0.266937537284018
JP0031,0.3,0.02968090179926332
