feature,importance_builtin,importance_perm_mean,importance_perm_std
landing_knee_compression,0.24081846189419703,0.11944614121229909,0.018236827142387956
avg_v_style_back,0.11360284293971541,0.1006854186421025,0.04909945323213128
telemark_stability,0.17019801081509622,0.0882935227888425,0.012250589231645426
avg_body_ski_angle,0.10031578627196859,0.047843165135539226,0.022388182335051098
takeoff_peak_velocity,0.03318298321384997,0.020423146898332578,0.011978440385126677
avg_v_style_front,0.07198791581358582,0.018842372212022084,0.015010280428389571
takeoff_knee_angle,0.06698874234025484,0.014003716745570948,0.012757294085410424
takeoff_timing_offset,0.018925290139480116,0.007119283328005832,0.010439101817031865
flight_jitter,0.05842535114191449,0.0066720247930031175,0.004355230719977959
telemark_scissor_mean,0.03315587205262287,0.003587353087667733,0.010423285582049462
landing_hip_velocity,0.015770123386668413,0.003153743487795291,0.006559974114259706
flight_mean_bsa,0.007613569229362575,0.0017144465503397877,0.003304688179341166
flight_std,0.020205995007244633,0.0013070350123195018,0.0026354155658547284
stability_ratio,0.015405043920378567,0.0009398658652645219,0.000409672034486432
knee_angle_at_takeoff,0.024119806495403094,0.0008106475601442175,0.008090489452657293
explosive_efficiency,0.007674936566973006,0.00020233062135814882,0.001252052416375209
knee_peak_velocity,0.00160926877128442,7.223134939258192e-05,8.085146606530457e-06
