jump_id,dominant_frequency,high_freq_power_ratio
JP0005,0.3,0.12088783080113111
JP0006,0.3,0.07048997743823746
JP0007,0.3,0.3662312177506855
JP0008,0.3,0.23658929500394388
JP0009,0.3,0.009805573117564985
JP0011,0.3,0.018708922314887355
JP0012,0.3,0.09606132688826978
JP0015,0.3,0.13304703560315465
JP0016,0.3,0.19912971897414547
JP0017,0.3,0.18906105759673456
JP0018,0.3,0.3606948205903411
JP0019,0.3,0.03967161727478928
JP0022,0.3,0.17917582599649154
JP0023,0.3,0.3309172486722355
JP0024,0.3,0.03792323714755672
JP0025,1.2,0.4075315162829884
JP0026,0.3,0.0883472952160133
JP0028,0.3,0.03198879075135471
JP0029,0.3,0.5931215311275211
JP0030,0.6,0.12303893581271413
